fitness,1261668.2502780198
colision,126
distances,1668.2502780198458
genom,"[ 377  847  243  108  808 1337   41  505  166 1214  798 1377 1398 1053
 1429  355  115  139    7  888   78  133  203 1322  580  121   78 1087
  130 1283  656  381]"
