fitness,1141555.712516787
colision,114
distances,1555.7125167869951
genom,"[1464  356 1452 1362  583  586  741  384   87  217 1499 1390  108  975
   62 1380  687 1478 1053  170  737 1156 1489 1013   17  842  500  492
  293 1222  884  223]"
