fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
fitness,50006532.84068391
colision,383
distances,783.9408820687016
