car_collision,0
obs_collision,29
distances,760.7003463275565
car_collision,0
obs_collision,25
distances,3082.1607102070047
car_collision,12
obs_collision,206
distances,7345.797774720601
car_collision,41
obs_collision,913
distances,6012.895318641136
car_collision,103
obs_collision,162
distances,3192.9747598087347
car_collision,87
obs_collision,1494
distances,5811.406263741648
car_collision,0
obs_collision,63
distances,3205.7271809857057
car_collision,3
obs_collision,34
distances,4925.5495995196725
car_collision,1
obs_collision,40
distances,1499.2089538258006
car_collision,0
obs_collision,550
distances,3078.681835305553
car_collision,4
obs_collision,22
distances,2927.49522867427
car_collision,6
obs_collision,910
distances,2679.514427207905
car_collision,0
obs_collision,3
distances,2612.5231043511885
car_collision,20
obs_collision,258
distances,5147.027947010091
car_collision,1
obs_collision,834
distances,2347.0869788909913
car_collision,0
obs_collision,41
distances,2545.5066863768925
car_collision,0
obs_collision,32
distances,2344.1206633263387
car_collision,0
obs_collision,8
distances,2065.8986887911765
car_collision,2
obs_collision,123
distances,3890.76531459997
car_collision,0
obs_collision,13
distances,4161.464056981876
car_collision,10
obs_collision,75
distances,3636.470529883505
car_collision,0
obs_collision,58
distances,3565.7288392923056
car_collision,0
obs_collision,930
distances,1886.4262452133905
car_collision,0
obs_collision,6
distances,3426.377712572254
car_collision,0
obs_collision,1007
distances,1696.900940489175
car_collision,2
obs_collision,1031
distances,2132.020574160168
car_collision,0
obs_collision,44
distances,2217.1012106132175
car_collision,0
obs_collision,44
distances,2050.604227269011
car_collision,0
obs_collision,6
distances,2803.6773593240373
car_collision,0
obs_collision,33
distances,3183.5595912822864
car_collision,0
obs_collision,7
distances,2811.140786876278
car_collision,27
obs_collision,659
distances,4798.9560309313965
car_collision,3
obs_collision,1025
distances,2087.358933712658
car_collision,0
obs_collision,7
distances,3194.0987049343034
car_collision,38
obs_collision,59
distances,4763.750618112412
car_collision,0
obs_collision,44
distances,2092.8587708049827
car_collision,7
obs_collision,141
distances,3187.9831696404485
car_collision,10
obs_collision,195
distances,3435.6101147785766
car_collision,0
obs_collision,7
distances,2758.284769237059
car_collision,1
obs_collision,8
distances,3292.7092647032127
car_collision,0
obs_collision,44
distances,2242.413424937649
car_collision,0
obs_collision,7
distances,3418.360062127007
car_collision,0
obs_collision,37
distances,2755.156647706398
car_collision,9
obs_collision,418
distances,2360.1688895185143
car_collision,0
obs_collision,44
distances,2828.3628176809593
car_collision,0
obs_collision,44
distances,3906.204905908884
car_collision,0
obs_collision,7
distances,3351.4406461705476
