fitness,1651482.1223229165
colision,165
distances,1482.1223229165457
genom,"[1382  356  493  251   65  780  461  552 1320  895  656 1115  590  337
  480  956  184  775 1310 1450  489 1278  537 1275 1003  585 1053 1097
 1118  316 1431  431]"
